# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-591 b,Confirmed,,,,,,,0.302,0.022,0.049,81.1694299,0.0003199,0.0003199,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-591,286.024025,48.43177,,,13.327,12.953,12.971,793.0,,,0.01,0.157,0.13,0.97,0.04,0.04,0.94,0.06,0.13,,,,,5677.0,71.43,66.16,,,
Kepler-592 b,Confirmed,,,,,,,0.213,0.022,0.052,2.82019241,3.79e-06,3.79e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-592,285.790685,48.683262,,,13.626,13.3,13.219,1034.0,,,-0.03,0.193,0.144,1.04,0.07,0.06,1.04,0.1,0.25,,,,,5913.0,74.23,83.3,,,
Kepler-593 b,Confirmed,,,,,,,0.256,0.026,0.062,21.21708973,5.927e-05,5.927e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-593,294.951451,48.651188,,,13.431,13.131,13.115,1016.0,,,0.04,0.156,0.142,1.08,0.07,0.08,1.1,0.11,0.26,,,,,5967.0,113.06,96.47,,,
Kepler-594 b,Confirmed,,,,,,,0.194,0.013,0.02,13.64618192,3.489e-05,3.489e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-594,288.921586,49.762035,,,13.48,13.104,13.001,742.0,,,-0.03,0.171,0.144,0.91,0.05,0.04,0.87,0.06,0.08,,,,,5485.0,94.0,80.49,,,
Kepler-595 b,Confirmed,,,,,,,0.34,0.015,0.025,25.30292332,3.003e-05,3.003e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-595,294.570393,50.673023,,,13.335,12.94,12.862,639.0,,,0.08,0.157,0.15,0.87,0.04,0.04,0.83,0.04,0.06,,,,,5247.0,79.67,59.03,,,
Kepler-596 b,Confirmed,,,,,,,0.309,0.042,0.145,21.30022655,4.193e-05,4.193e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-596,289.500676,51.68573,,,13.074,12.812,12.715,1083.0,,,0.03,0.153,0.129,1.21,0.1,0.19,1.32,0.18,0.62,,,,,6267.0,108.73,109.7,,,
Kepler-597 b,Confirmed,,,,,,,0.211,0.012,0.029,13.02365861,2.728e-05,2.728e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-597,293.470106,39.252808,,,12.951,12.562,12.54,660.0,,,-0.01,0.102,0.097,0.97,0.04,0.04,0.95,0.05,0.06,,,,,5683.0,59.31,69.29,,,
Kepler-598 b,Confirmed,,,,,,,0.134,0.008,0.011,3.70175428,9.71e-06,9.71e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-598,293.123423,40.934766,,,13.41,12.977,12.931,686.0,,,0.02,0.105,0.103,0.87,0.04,0.04,0.86,0.04,0.06,,,,,5307.0,72.88,87.96,,,
Kepler-599 b,Confirmed,,,,,,,0.253,0.029,0.013,15.65562652,3.161e-05,3.161e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-599,285.911509,41.069443,,,13.51,13.031,12.972,627.0,,,-0.02,0.148,0.14,0.83,0.04,0.04,0.79,0.04,0.04,,,,,5127.0,90.28,78.75,,,
Kepler-6 b,Confirmed,0.669,0.03,0.025,,,,1.323,0.029,0.029,3.234723,1.7e-05,1.7e-05,0.04567,0.00046,0.00046,0.0,,,86.8,0.3,0.3,,2010,2015-02-26,,,,,,,,,,2454954.48636,0.00014,0.00014,,,,,,,,,,,,,,,,1451.0,,,,,0.07,0.03,0.03,,Published in a refereed paper,Primary Transit,,,,,Kepler-6,296.8375,48.24,,,,,,,,,0.34,0.04,0.04,1.209,0.038,0.038,1.391,0.034,0.034,,3.8,1.0,1.0,5647.0,44.0,44.0,,,
Kepler-60 b,Confirmed,0.01317,0.0018,0.0018,,,,0.153,0.012,0.012,7.1316185,9.3e-05,9.3e-05,0.07497,,,,,,,,,,2012,2016-03-16,,,,,,,,,,2454969.03637,0.0047,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-60,288.9625,42.265,14.5,,,,,,,,,,,1.1,,,1.5,,,,,,,5915.0,,,,,
Kepler-60 c,Confirmed,0.0121,0.0025,0.0025,,,,0.17,0.013,0.013,8.9193459,0.00011,0.00011,0.08701,,,,,,,,,,2012,2016-03-16,,,,,,,,,,2454973.06513,0.0047,0.0047,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-60,288.9625,42.265,14.5,,,,,,,,,,,1.1,,,1.5,,,,,,,5915.0,,,,,
Kepler-60 d,Confirmed,0.0131,0.0024,0.0026,,,,0.178,0.014,0.014,11.9016171,0.0002,0.0002,0.10548,,,,,,,,,,2012,2016-03-16,,,,,,,,,,2454966.24626,0.0063,0.0063,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,TTV,Primary Transit,,,Kepler-60,288.9625,42.265,14.5,,,,,,,,,,,1.1,,,1.5,,,,,,,5915.0,,,,,
Kepler-600 b,Confirmed,,,,,,,0.259,0.035,0.019,23.67517607,5.668e-05,5.668e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-600,283.833059,41.978649,,,13.387,12.96,12.812,624.0,,,-0.09,0.18,0.159,0.84,0.05,0.05,0.81,0.06,0.06,,,,,5279.0,92.37,104.56,,,
Kepler-601 b,Confirmed,,,,,,,0.17,0.016,0.024,5.37886844,7.27e-06,7.27e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-601,282.004612,42.176533,,,12.647,12.155,12.129,429.0,,,-0.02,0.103,0.096,0.85,0.03,0.03,0.79,0.02,0.02,,,,,5160.0,46.75,61.57,,,
Kepler-602 b,Confirmed,,,,,,,0.186,0.029,0.058,15.28469497,6.919e-05,6.919e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-602,296.031983,42.141949,,,13.328,12.999,12.936,971.0,,,-0.02,0.187,0.147,1.08,0.1,0.14,1.13,0.17,0.35,,,,,6062.0,238.63,218.54,,,
Kepler-603 b,Confirmed,,,,,,,0.236,0.023,0.053,21.05358596,8.943e-05,8.943e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-603,294.280982,42.29097,,,13.601,13.282,13.214,967.0,,,0.03,0.166,0.134,1.01,0.06,0.06,1.01,0.1,0.23,,,,,5808.0,142.55,90.04,,,
Kepler-603 c,Confirmed,,,,,,,0.58,0.055,0.132,127.9075774,0.0004999,0.0004999,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-603,294.280982,42.29097,,,13.601,13.282,13.214,967.0,,,0.03,0.166,0.134,1.01,0.06,0.06,1.01,0.1,0.23,,,,,5808.0,142.55,90.04,,,
Kepler-603 d,Confirmed,,,,,,,0.118,0.012,0.022,6.2171292,4.234e-05,4.234e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-603,294.280982,42.29097,,,13.601,13.282,13.214,967.0,,,0.03,0.166,0.134,1.01,0.06,0.06,1.01,0.1,0.23,,,,,5808.0,142.55,90.04,,,
Kepler-604 b,Confirmed,,,,,,,0.231,0.024,0.044,25.85501786,9.434e-05,9.434e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-604,292.316017,42.626255,,,13.553,13.201,13.19,981.0,,,-0.02,0.182,0.142,1.02,0.07,0.08,1.03,0.11,0.19,,,,,5890.0,159.73,174.4,,,
Kepler-605 b,Confirmed,,,,,,,0.128,0.008,0.015,3.38353807,5.11e-06,5.11e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-605,287.295436,43.279873,,,12.869,12.496,12.422,570.0,,,0.02,0.165,0.135,0.91,0.04,0.04,0.88,0.05,0.1,,,,,5462.0,73.73,67.28,,,
Kepler-605 c,Confirmed,,,,,,,0.077,0.005,0.01,2.35895152,8.37e-06,8.37e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-605,287.295436,43.279873,,,12.869,12.496,12.422,570.0,,,0.02,0.165,0.135,0.91,0.04,0.04,0.88,0.05,0.1,,,,,5462.0,73.73,67.28,,,
Kepler-606 b,Confirmed,,,,,,,0.295,0.045,0.113,24.31575992,7.998e-05,7.998e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-606,292.427378,44.381268,,,13.583,13.28,13.202,1208.0,,,0.01,0.175,0.133,1.13,0.1,0.17,1.22,0.18,0.45,,,,,6161.0,227.56,194.78,,,
Kepler-607 b,Confirmed,,,,,,,0.078,0.006,0.005,0.6381632,1.68e-06,1.68e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-607,291.057206,44.632381,,,12.965,12.498,12.426,500.0,,,-0.02,0.158,0.146,0.84,0.04,0.04,0.8,0.04,0.05,,,,,5196.0,118.36,94.48,,,
Kepler-608 b,Confirmed,,,,,,,0.325,0.039,0.064,6.41251504,5.42e-06,5.42e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-608,293.882931,44.638096,,,13.526,13.182,13.077,926.0,,,-0.02,0.172,0.142,1.0,0.07,0.09,1.01,0.11,0.2,,,,,5820.0,187.94,226.58,,,
Kepler-609 b,Confirmed,,,,,,,0.299,0.039,0.095,6.52121067,8.64e-06,8.64e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-609,292.220313,44.700031,,,13.651,13.353,13.281,1143.0,,,0.06,0.155,0.143,1.09,0.08,0.09,1.14,0.14,0.35,,,,,5971.0,171.1,125.14,,,
Kepler-61 b,Confirmed,,,,,,,0.192,0.0116,0.0116,59.87756,0.0002,0.0002,0.27,0.01,0.01,0.25,0.25,0.0,89.8,0.2,0.0,,2012,2014-05-28,,,,,,,,,,2454984.188,0.0029,0.0029,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-61,295.3042,42.4753,15.0,,,,,,,,0.03,0.14,0.14,0.635,0.037,0.037,0.62,0.05,0.02,K7V,1.0,0.0,inf,4017.0,150.0,68.0,,,
Kepler-610 b,Confirmed,,,,,,,0.374,0.04,0.103,6.99692655,5.59e-06,5.59e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-610,293.171343,45.065605,,,13.601,13.306,13.267,1113.0,,,0.12,0.143,0.148,1.1,0.07,0.09,1.13,0.12,0.31,,,,,5943.0,127.26,91.96,,,
Kepler-610 c,Confirmed,,,,,,,0.294,0.033,0.075,151.86392,0.001118,0.001118,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-610,293.171343,45.065605,,,13.601,13.306,13.267,1113.0,,,0.12,0.143,0.148,1.1,0.07,0.09,1.13,0.12,0.31,,,,,5943.0,127.26,91.96,,,
Kepler-611 b,Confirmed,,,,,,,0.147,0.013,0.045,2.4370333,5.03e-06,5.03e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-611,286.004962,45.480392,,,13.438,13.149,13.035,906.0,,,0.06,0.165,0.155,1.01,0.05,0.05,1.01,0.09,0.24,,,,,5761.0,69.42,64.93,,,
Kepler-612 b,Confirmed,,,,,,,0.253,0.024,0.059,3.72215641,3.76e-06,3.76e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-612,291.354639,45.747898,,,13.663,13.315,13.264,932.0,,,0.04,0.155,0.137,0.98,0.05,0.05,0.96,0.08,0.17,,,,,5693.0,129.13,92.7,,,
Kepler-613 b,Confirmed,,,,,,,0.204,0.015,0.036,15.77979614,4.258e-05,4.258e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-613,282.786824,46.244992,,,13.483,13.14,13.067,864.0,,,-0.01,0.183,0.139,0.98,0.05,0.05,0.96,0.07,0.17,,,,,5723.0,67.42,68.68,,,
Kepler-614 b,Confirmed,,,,,,,0.213,0.015,0.018,14.03491514,2.597e-05,2.597e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-614,298.384823,46.276043,,,13.195,12.72,12.662,571.0,,,-0.07,0.169,0.15,0.85,0.05,0.05,0.81,0.05,0.07,,,,,5268.0,125.95,186.36,,,
Kepler-615 b,Confirmed,,,,,,,0.155,0.009,0.008,10.35584657,1.854e-05,1.854e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-615,282.450603,46.321404,,,12.646,12.071,11.966,330.0,,,-0.07,0.164,0.164,0.73,0.04,0.04,0.69,0.04,0.03,,,,,4655.0,43.29,41.24,,,
Kepler-616 b,Confirmed,,,,,,,0.217,0.018,0.029,9.99761851,2.138e-05,2.138e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-616,294.989131,46.838329,,,13.814,13.412,13.448,1019.0,,,-0.02,0.162,0.139,0.98,0.05,0.06,0.97,0.08,0.13,,,,,5753.0,101.52,133.18,,,
Kepler-616 c,Confirmed,,,,,,,0.304,0.027,0.051,90.4113556,0.0004522,0.0004522,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-616,294.989131,46.838329,,,13.814,13.412,13.448,1019.0,,,-0.02,0.162,0.139,0.98,0.05,0.06,0.97,0.08,0.13,,,,,5753.0,101.52,133.18,,,
Kepler-617 b,Confirmed,,,,,,,0.118,0.006,0.006,1.68269615,1.11e-06,1.11e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-617,283.74071,47.516293,,,12.437,11.802,11.573,150.0,,,-0.07,0.082,0.077,0.51,0.03,0.02,0.48,0.03,0.02,,,,,3712.0,33.35,33.92,,,
Kepler-618 b,Confirmed,,,,,,,0.232,0.037,0.07,3.59576964,8.82e-06,8.82e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-618,286.249817,48.06094,,,13.67,13.417,13.335,1115.0,,,0.08,0.147,0.154,1.05,0.05,0.07,1.08,0.11,0.33,,,,,5860.0,79.66,67.09,,,
Kepler-619 b,Confirmed,,,,,,,0.282,0.028,0.058,5.4042722,5.55e-06,5.55e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-619,290.849058,48.416016,,,13.579,13.263,13.291,1111.0,,,0.05,0.146,0.136,1.09,0.06,0.07,1.11,0.11,0.23,,,,,5980.0,113.14,106.44,,,
Kepler-619 c,Confirmed,,,,,,,0.151,0.015,0.035,1.20846503,1.67e-06,1.67e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-619,290.849058,48.416016,,,13.579,13.263,13.291,1111.0,,,0.05,0.146,0.136,1.09,0.06,0.07,1.11,0.11,0.23,,,,,5980.0,113.14,106.44,,,
Kepler-62 b,Confirmed,0.028,0.028,0.0,0.028,0.028,0.0,0.117,0.0036,0.0036,5.714932,9e-06,9e-06,0.0553,0.0005,0.0005,,,,89.2,0.4,0.4,,2013,2019-07-10,,,,,,,,,,2455003.9189,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-62,283.2125,45.3499,14.0,,,,,,,,-0.21,,,0.69,0.02,0.02,0.63,0.02,0.02,K2V,,,,4869.0,,,,,
Kepler-62 c,Confirmed,0.0126,0.0126,0.0,0.0126,0.0126,0.0,0.048,0.0027,0.0027,12.4417,0.0001,0.0001,0.0929,0.0009,0.0009,,,,89.7,0.2,0.2,,2013,2019-07-10,,,,,,,,,,2454967.651,0.008,0.008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-62,283.2125,45.3499,14.0,,,,,,,,-0.21,,,0.69,0.02,0.02,0.63,0.02,0.02,K2V,,,,4869.0,,,,,
Kepler-62 d,Confirmed,0.044,0.044,0.0,,,,0.174,0.0063,0.0063,18.16406,2e-05,2e-05,0.12,0.001,0.001,,,,89.7,0.3,0.3,,2013,2014-05-22,,,,,,,,,,2455013.8117,0.0008,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-62,283.2125,45.3499,14.0,,,,,,,,-0.21,,,0.69,0.02,0.02,0.63,0.02,0.02,K2V,,,,4869.0,,,,,
Kepler-62 e,Confirmed,0.113,0.113,0.0,,,,0.144,0.0045,0.0045,122.3874,0.0008,0.0008,0.427,0.004,0.004,,,,89.98,0.02,0.02,,2013,2014-05-22,,,,,,,,,,2454983.404,0.003,0.003,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-62,283.2125,45.3499,14.0,,,,,,,,-0.21,,,0.69,0.02,0.02,0.63,0.02,0.02,K2V,,,,4869.0,,,,,
Kepler-62 f,Confirmed,0.11,0.11,0.0,,,,0.126,0.0063,0.0063,267.291,0.005,0.005,0.718,0.007,0.007,,,,89.9,0.03,0.03,,2013,2014-05-22,,,,,,,,,,2455412.71,0.0006,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-62,283.2125,45.3499,14.0,,,,,,,,-0.21,,,0.69,0.02,0.02,0.63,0.02,0.02,K2V,,,,4869.0,,,,,
Kepler-620 b,Confirmed,,,,,,,0.296,0.062,0.109,12.91375431,4.951e-05,4.951e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-620,291.159391,51.334866,,,13.591,13.292,13.284,1241.0,,,0.03,0.157,0.141,1.15,0.08,0.15,1.22,0.16,0.45,,,,,6155.0,147.72,120.88,,,
Kepler-621 b,Confirmed,,,,,,,0.205,0.017,0.006,2.62811375,1.77e-06,1.77e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-621,290.927286,39.914145,,,13.153,12.529,12.407,389.0,,,-0.02,0.102,0.111,0.72,0.03,0.02,0.68,0.02,0.02,,,,,4521.0,51.47,73.87,,,
Kepler-622 b,Confirmed,,,,,,,0.19,0.014,0.025,14.28226676,2.663e-05,2.663e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-622,284.478472,40.93311,,,12.689,12.073,11.909,259.0,,,-0.09,0.092,0.095,0.64,0.03,0.03,0.61,0.02,0.02,,,,,4201.0,36.96,46.67,,,
Kepler-623 b,Confirmed,,,,,,,0.269,0.019,0.03,9.07097734,1.283e-05,1.283e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-623,296.986721,47.47739,,,13.729,13.321,13.211,811.0,,,-0.03,0.175,0.15,0.9,0.05,0.04,0.86,0.06,0.1,,,,,5443.0,85.59,103.28,,,
Kepler-624 b,Confirmed,,,,,,,0.206,0.021,0.029,14.58649607,2.876e-05,2.876e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-624,295.193389,39.539677,,,12.514,12.195,12.205,731.0,,,-0.06,0.114,0.104,1.1,0.06,0.05,1.18,0.11,0.17,,,,,6117.0,63.28,70.67,,,
Kepler-625 b,Confirmed,,,,,,,0.178,0.004,0.005,7.75192492,1.063e-05,1.063e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-625,292.150459,39.637581,,,12.203,11.938,11.905,502.0,,,0.1,0.085,0.087,1.04,0.02,0.02,0.96,0.02,0.03,,,,,5789.0,43.94,46.81,,,
Kepler-625 c,Confirmed,,,,,,,0.094,0.003,0.004,4.1653651,1.304e-05,1.304e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-625,292.150459,39.637581,,,12.203,11.938,11.905,502.0,,,0.1,0.085,0.087,1.04,0.02,0.02,0.96,0.02,0.03,,,,,5789.0,43.94,46.81,,,
Kepler-626 b,Confirmed,,,,,,,0.204,0.018,0.025,14.48585199,2.363e-05,2.363e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-626,288.698651,39.708288,,,12.781,12.438,12.388,690.0,,,0.01,0.104,0.092,1.01,0.04,0.05,1.05,0.09,0.12,,,,,5813.0,94.62,93.83,,,
Kepler-627 b,Confirmed,,,,,,,0.333,0.073,0.143,40.6994443,0.0001783,0.0001783,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-627,292.104279,39.767914,,,12.916,12.657,12.608,1143.0,,,0.05,0.142,0.126,1.3,0.14,0.21,1.49,0.27,0.64,,,,,6424.0,213.39,160.13,,,
Kepler-628 b,Confirmed,,,,,,,0.749,0.126,0.145,15.4580567,2.95e-06,2.95e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-628,290.449257,39.854802,,,11.979,11.662,11.599,579.0,,,0.04,0.089,0.073,1.0,0.04,0.05,1.28,0.21,0.25,,,,,5721.0,51.36,47.04,,,
Kepler-629 b,Confirmed,,,,,,,0.123,0.004,0.005,7.2385854,1.18e-05,1.18e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-629,289.417832,39.945013,,,12.107,11.729,11.646,383.0,,,0.01,0.104,0.093,0.93,0.03,0.03,0.84,0.02,0.02,,,,,5444.0,60.2,71.98,,,
Kepler-63 b,Confirmed,,,,,,,0.545,0.02,0.02,9.4341505,1e-06,1e-06,0.08,0.002,0.002,,,,87.806,0.019,0.018,,2013,2014-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-63,289.225,49.54819722,12.02,,,,,200.0,15.0,15.0,0.05,0.08,0.08,0.984,0.04,0.035,0.901,0.022,0.027,,,,,5576.0,50.0,50.0,,,TYC 3550-458-1
Kepler-630 b,Confirmed,,,,,,,0.284,0.03,0.03,161.4743937,0.0009011,0.0009011,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-630,293.427043,39.942437,,,12.686,12.376,12.293,657.0,,,0.03,0.095,0.093,1.02,0.04,0.04,1.04,0.08,0.11,,,,,5829.0,98.87,97.42,,,
