pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-570 b,Transit,0,1,4.301662,0.0000031,-0.0000031,0,,,,,,,,,,,,,,,,,,0.219,0.03,-0.013,0,,,,,0,1,0,1,19h21m45.02s,290.437586,+48d47m30.8s,48.791885,642,89.44,-42.67,0,577.6,5.42,-5.42,0,14.332,,0,Kepler-band,14.329,,0,5496,71.37,-88.25,0,0.93,0.04,-0.04,0,0.9,0.12,-0.06,0,10/05/2016,Kepler
Kepler-571 b,Transit,0,1,4.79859939,0.0000054,-0.0000054,0,,,,,,,,,,,,,,,,,,0.236,0.029,-0.015,0,,,,,0,1,0,1,19h06m12.24s,286.55102,+49d25m07.5s,49.418743,756,91.43,-50.1,0,739.24,10.18,-10.18,0,14.675,,0,Kepler-band,14.654,,0,5527,75.23,-79.46,0,0.93,0.04,-0.04,0,0.9,0.11,-0.05,0,10/05/2016,Kepler
Kepler-572 b,Transit,0,1,17.20523483,0.00002222,-0.00002222,0,,,,,,,,,,,,,,,,,,0.23,0.016,-0.015,0,,,,,0,1,0,1,19h24m53.06s,291.221081,+50d34m52.7s,50.581303,532,37.23,-37.14,0,512.1,4.98,-4.98,0,14.472,,0,Kepler-band,14.485,,0,5212,89.47,-77.65,0,0.83,0.04,-0.05,0,0.79,0.05,-0.05,0,10/05/2016,Kepler
Kepler-573 b,Transit,0,1,22.18329658,0.00004593,-0.00004593,0,,,,,,,,,,,,,,,,,,0.249,0.032,-0.021,0,,,,,0,1,0,1,19h18m05.08s,289.521162,+51d14m14.3s,51.237316,758,96.48,-63.26,0,788.98,10.51,-10.51,0,14.118,,0,Kepler-band,14.136,,0,5746,59.48,-51.43,0,0.99,0.03,-0.04,0,1.02,0.13,-0.08,0,10/05/2016,Kepler
Kepler-574 b,Transit,0,1,7.65880414,0.00001346,-0.00001346,0,,,,,,,,,,,,,,,,,,0.213,0.029,-0.014,0,,,,,0,1,0,1,19h20m59.29s,290.247043,+52d08m56.9s,52.149136,747,99.38,-55.22,0,696.58,8.45,-8.45,0,14.528,,0,Kepler-band,14.539,,0,5612,116.01,-108.4,0,0.95,0.05,-0.05,0,0.91,0.12,-0.06,0,10/05/2016,Kepler
Kepler-575 b,Transit,0,1,9.37891944,0.00002371,-0.00002371,0,,,,,,,,,,,,,,,,,,0.213,0.046,-0.019,0,,,,,0,1,0,1,19h07m51.33s,286.963889,+37d49m46.9s,37.8297,852,114.67,-75.7,0,875.39,15.16,-15.16,0,14.72,,0,Kepler-band,14.712,,0,5710,114.7,-145.72,0,0.97,0.06,-0.06,0,0.95,0.12,-0.08,0,10/05/2016,Kepler
Kepler-576 b,Transit,0,1,29.91136794,0.00009909,-0.00009909,0,,,,,,,,,,,,,,,,,,0.292,0.075,-0.035,0,,,,,0,1,0,1,19h40m43.90s,295.18292,+38d39m15.2s,38.654231,698,175.33,-64.8,0,628.46,11.45,-11.45,0,14.424,,0,Kepler-band,14.382,,0,5672,95.54,-141.61,0,0.99,0.05,-0.06,0,0.97,0.24,-0.08,0,10/05/2016,Kepler
Kepler-577 b,Transit,0,1,25.69578251,0.0000632,-0.0000632,0,,,,,,,,,,,,,,,,,,0.227,0.034,-0.013,0,,,,,0,1,0,1,19h38m50.86s,294.711927,+39d04m25.5s,39.073762,549,26.63,-31.82,0,532.15,7.62,-7.62,0,14.885,,0,Kepler-band,14.937,,0,4984,52.11,-41.61,0,0.78,0.04,-0.04,0,0.73,0.03,-0.04,0,10/05/2016,Kepler
Kepler-578 b,Transit,0,1,1.6168837,0.00000123,-0.00000123,0,,,,,,,,,,,,,,,,,,0.178,0.016,-0.02,0,,,,,0,1,0,1,19h15m01.19s,288.75495,+39d33m49.2s,39.563656,568,48.98,-37.41,0,549.94,6.99,-6.99,0,14.411,,0,Kepler-band,14.411,,0,5334,117.14,-106.87,0,0.87,0.04,-0.05,0,0.83,0.07,-0.05,0,10/05/2016,Kepler
Kepler-579 b,Transit,0,1,9.66857723,0.0000192,-0.0000192,0,,,,,,,,,,,,,,,,,,0.178,0.031,-0.016,0,,,,,0,1,0,1,19h40m00.49s,295.002039,+39d57m10.5s,39.952923,663,115.36,-63.37,0,538.98,5.18,-5.18,0,14.272,,0,Kepler-band,14.246,,0,5636,135.41,-185.6,0,0.99,0.06,-0.06,0,0.96,0.16,-0.08,0,10/05/2016,Kepler
